         1205652 function calls in 1.377 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    29998    0.377    0.000    1.090    0.000 {function KDTree.query at 0x125f45c60}
    30298    0.113    0.000    0.113    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   120592    0.101    0.000    0.603    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    59996    0.089    0.000    0.178    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:38(_wrapit)
    90144    0.087    0.000    0.087    0.000 {built-in method numpy.asarray}
    30008    0.066    0.000    0.066    0.000 {method 'extend' of 'list' objects}
      148    0.066    0.000    1.347    0.009 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/lung-tumour-study/utils/postprocessing.py:9(get_N_closest_pairs_dists)
    59996    0.063    0.000    0.249    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
    29998    0.053    0.000    1.185    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/scipy/spatial/_kdtree.py:346(query)
    30298    0.046    0.000    0.181    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
    59996    0.037    0.000    0.037    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    59996    0.036    0.000    0.395    0.000 <__array_function__ internals>:177(reshape)
    30148    0.031    0.000    0.210    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2677(amax)
    30002    0.031    0.000    0.031    0.000 {method 'sort' of 'list' objects}
    59996    0.031    0.000    0.279    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:198(reshape)
    29998    0.021    0.000    0.051    0.000 <__array_function__ internals>:177(shape)
    30148    0.019    0.000    0.250    0.000 <__array_function__ internals>:177(amax)
   119992    0.018    0.000    0.018    0.000 {built-in method builtins.getattr}
    30298    0.017    0.000    0.017    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
    29998    0.015    0.000    0.020    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/numeric.py:1873(isscalar)
    59998    0.014    0.000    0.014    0.000 {built-in method builtins.isinstance}
    29998    0.010    0.000    0.010    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:1965(shape)
    59996    0.009    0.000    0.009    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:193(_reshape_dispatcher)
      150    0.005    0.000    0.021    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/scipy/spatial/_kdtree.py:336(__init__)
