         1174646 function calls in 1.360 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
    29226    0.375    0.000    1.079    0.000 {function KDTree.query at 0x125f45c60}
    29518    0.112    0.000    0.112    0.000 {method 'reduce' of 'numpy.ufunc' objects}
   117488    0.098    0.000    0.595    0.000 {built-in method numpy.core._multiarray_umath.implement_array_function}
    58452    0.087    0.000    0.174    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:38(_wrapit)
    87824    0.087    0.000    0.087    0.000 {built-in method numpy.asarray}
      144    0.064    0.000    1.330    0.009 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/lung-tumour-study/utils/postprocessing.py:9(get_N_closest_pairs_dists)
    29235    0.064    0.000    0.064    0.000 {method 'extend' of 'list' objects}
    58452    0.064    0.000    0.246    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:51(_wrapfunc)
    29226    0.052    0.000    1.173    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/scipy/spatial/_kdtree.py:346(query)
    29518    0.045    0.000    0.179    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:69(_wrapreduction)
    58452    0.036    0.000    0.036    0.000 {method 'reshape' of 'numpy.ndarray' objects}
    58452    0.035    0.000    0.390    0.000 <__array_function__ internals>:177(reshape)
    29372    0.031    0.000    0.208    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:2677(amax)
    58452    0.030    0.000    0.277    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:198(reshape)
    29230    0.029    0.000    0.029    0.000 {method 'sort' of 'list' objects}
    29226    0.021    0.000    0.050    0.000 <__array_function__ internals>:177(shape)
    29372    0.019    0.000    0.247    0.000 <__array_function__ internals>:177(amax)
   116904    0.017    0.000    0.017    0.000 {built-in method builtins.getattr}
    29518    0.017    0.000    0.017    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:70(<dictcomp>)
    29226    0.014    0.000    0.020    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/numeric.py:1873(isscalar)
    58454    0.013    0.000    0.013    0.000 {built-in method builtins.isinstance}
    29226    0.010    0.000    0.010    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:1965(shape)
    58452    0.009    0.000    0.009    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/numpy/core/fromnumeric.py:193(_reshape_dispatcher)
      146    0.005    0.000    0.021    0.000 /Users/joseperezcano/Desktop/CFIS Quinto Curso/TFG/pulmon/lib/python3.10/site-packages/scipy/spatial/_kdtree.py:336(__init__)
